gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000097014.1	NA	Gm26706	-0.122873018734346	-0.122911087523311	2.67347771973435	0.956769316929205	1	Not regulated
ENSMUSG00000102976.6	OTTMUSG00000049664.2	Zc3h11a	-0.125004271250524	-0.125051957057844	2.40936425604557	0.904966174918563	1	Not regulated
ENSMUSG00000094410.7	OTTMUSG00000049665.1	Gm38394	-0.252132151299941	-0.252666581891765	-0.19608789696527	0.982480896605584	1	Not regulated
ENSMUSG00000051998.14	OTTMUSG00000049667.1	Lax1	0.333257872179827	0.335600723018343	0.370589024220844	0.584564217585194	1	Not regulated
ENSMUSG00000026463.17	OTTMUSG00000016442.5	Atp2b4	-0.22131375161467	-0.221316552381531	7.73349220351279	0.986165168975102	1	Not regulated
ENSMUSG00000041577.5	OTTMUSG00000026872.2	Prelp	0.471901241416561	0.476631017728785	0.715473749057964	0.540887856613371	1	Not regulated
ENSMUSG00000041559.7	OTTMUSG00000034789.3	Fmod	-0.833791026651555	-0.936180551672561	-1.39071790770735	0.677385427819759	1	Not regulated
ENSMUSG00000020423.6	OTTMUSG00000034725.1	Btg2	0.678310173821394	0.682058310965816	1.10529680914638	0.256681955133605	1	Not regulated
ENSMUSG00000026450.14	OTTMUSG00000021755.2	Chit1	-0.15459603989725	-0.154927097336019	3.23089509135307	0.866977097119118	1	Not regulated
ENSMUSG00000042429.8	OTTMUSG00000049675.2	Adora1	-0.0566150067306884	-0.0568844791014621	-0.223177396595763	0.922193188433398	1	Not regulated
ENSMUSG00000026458.13	OTTMUSG00000049678.1	Ppfia4	-0.22493885979163	-0.22503517321858	3.04998368180198	0.810879522880409	1	Not regulated
ENSMUSG00000042305.12	OTTMUSG00000049679.2	Tmem183a	0.0861787741156935	0.0861847867151465	6.01541687589818	0.99999967657945	1	Not regulated
ENSMUSG00000050526.5	OTTMUSG00000029248.4	4933406M09Rik	0.0508546333750954	0.0510208663579916	2.32681578825848	0.93296524121735	1	Not regulated
ENSMUSG00000026456.18	OTTMUSG00000023725.5	Cyb5r1	0.633633143189273	0.634925399784573	0.598771365294996	0.178558323808502	1	Not regulated
ENSMUSG00000026457.14	OTTMUSG00000021808.1	Adipor1	0.246060262617192	0.246080548382774	5.69722969271927	0.99951911734394	1	Not regulated
ENSMUSG00000102722.1	OTTMUSG00000049681.1	Gm37935	0.382576534718748	0.38436860043064	0.412337810243467	0.580657515587449	1	Not regulated
ENSMUSG00000026455.14	OTTMUSG00000021463.2	Klhl12	-0.0338434066908484	-0.0338483184605635	5.79230884408543	0.994029479651855	1	Not regulated
ENSMUSG00000042229.9	OTTMUSG00000049682.1	Rabif	0.0319155170066137	0.031922125487719	3.3170886632497	0.999886184136288	1	Not regulated
ENSMUSG00000046367.10	OTTMUSG00000037371.2	Mgat4e	-0.148450245367539	-0.148545827433113	2.61101259048307	0.923256193675739	1	Not regulated
ENSMUSG00000042207.17	OTTMUSG00000017092.2	Kdm5b	0.227787669100465	0.227788982076475	8.6753077295694	0.996841506336238	1	Not regulated
ENSMUSG00000073557.11	OTTMUSG00000021600.2	Ppp1r12b	0.323634882919531	0.323661616710178	5.07284611753612	0.636639502092125	1	Not regulated
ENSMUSG00000026429.9	OTTMUSG00000021432.4	Ube2t	0.279851031913383	0.279860123132654	5.68145072916426	0.970371978067366	1	Not regulated
ENSMUSG00000042793.13	OTTMUSG00000026806.3	Lgr6	0.290130003716832	0.290222866499665	2.91713042538324	0.849194837332725	1	Not regulated
ENSMUSG00000026426.10	OTTMUSG00000021955.2	Arl8a	0.4686520562894	0.469662154760364	0.0894220590662433	0.392299401329886	1	Not regulated
ENSMUSG00000079139.4	OTTMUSG00000049798.1	Gm4204	0.0676386945861755	0.0676908760913024	1.54347210693467	0.944782339914439	1	Not regulated
ENSMUSG00000097680.1	OTTMUSG00000049799.1	Gm26642	-0.153860719296308	-0.154017776113524	1.1879548514884	0.963885466917906	1	Not regulated
ENSMUSG00000041926.15	OTTMUSG00000021833.2	Rnpep	-0.767628442026402	-0.76769913391833	5.82764282431242	0.0546490632846949	1	Not regulated
ENSMUSG00000062580.9	OTTMUSG00000021888.6	Timm17a	0.15220913541238	0.152218126534496	5.8093647209785	0.999864777779549	1	Not regulated
ENSMUSG00000048096.7	OTTMUSG00000022119.1	Lmod1	0.791746342143729	0.848768258481025	-0.72617037884311	0.61153151723807	1	Not regulated
ENSMUSG00000041879.13	OTTMUSG00000034791.1	Ipo9	0.106952011109439	0.106956348913921	6.20149652585464	0.999831317623086	1	Not regulated
ENSMUSG00000009418.15	OTTMUSG00000049802.2	Nav1	0.117906010814728	0.118397385351305	1.67319706003061	0.863123342986614	1	Not regulated
ENSMUSG00000026421.14	OTTMUSG00000021802.1	Csrp1	0.684457461922011	0.684880878277488	2.69118987596592	0.204881526394926	1	Not regulated
ENSMUSG00000026414.13	OTTMUSG00000049830.2	Tnnt2	1.05899567413148	1.0783109267422	-0.248292051291873	0.183728571208285	1	Not regulated
ENSMUSG00000026413.12	OTTMUSG00000022498.4	Pkp1	0.800549993065367	0.802729276371162	2.94357819207279	0.0613547813628932	1	Not regulated
ENSMUSG00000051985.12	OTTMUSG00000019636.4	Igfn1	-0.577919816325456	-0.583418551927613	0.99560255865141	0.293319293140588	1	Not regulated
ENSMUSG00000026411.17	OTTMUSG00000029663.2	Tmem9	0.487075225304464	0.487525448431009	1.35908825694079	0.428369791487291	1	Not regulated
ENSMUSG00000026407.17	OTTMUSG00000033761.1	Cacna1s	-0.315977113363368	-0.316097845688501	4.05622162980861	0.752317234614387	1	Not regulated
ENSMUSG00000041642.18	OTTMUSG00000026867.6	Kif21b	-0.347262924415703	-0.347296363519193	5.21773676968671	0.881342378442241	1	Not regulated
ENSMUSG00000087230.10	OTTMUSG00000033572.10	Mroh3	-0.349136812630412	-0.350088525638581	1.1469367566806	0.630378063978799	1	Not regulated
ENSMUSG00000041605.16	OTTMUSG00000029725.4	Inava	-0.235354134696119	-0.235374150558997	5.93458106473263	0.995615448489013	1	Not regulated
ENSMUSG00000097315.1	OTTMUSG00000049845.1	Gm26568	0.461687220000519	0.490004886677718	-0.693402032937518	0.538761590939526	1	Not regulated
ENSMUSG00000041570.14	OTTMUSG00000049850.1	Camsap2	-0.0173914119347603	-0.0173928875924309	5.7105598939947	0.999485890986666	1	Not regulated
ENSMUSG00000097403.2	OTTMUSG00000049851.1	9230116N13Rik	0.992911071718326	0.997894349769405	-0.72365127056539	0.0198362509150175	0.889673859133381	Up-regulated
ENSMUSG00000026404.12	OTTMUSG00000021585.1	Ddx59	0.167744115257854	0.167789003930612	3.55177116883744	0.992464131028283	1	Not regulated
ENSMUSG00000041498.13	OTTMUSG00000046083.5	Kif14	-0.0957910161752537	-0.0958039988250802	4.47166894815447	0.986245561925077	1	Not regulated
ENSMUSG00000104366.1	OTTMUSG00000049855.1	4933409D19Rik	-0.417685474721856	-0.417892855822548	2.82039199248305	0.519097707468154	1	Not regulated
ENSMUSG00000041483.14	OTTMUSG00000022094.1	Zfp281	-0.094532302890065	-0.0945441232226961	4.29619719134728	0.987014943192298	1	Not regulated
ENSMUSG00000097113.7	OTTMUSG00000042943.1	Gm19705	0.440033827851812	0.440398590702141	2.28869479145821	0.463184916515875	1	Not regulated
ENSMUSG00000026395.16	OTTMUSG00000043098.7	Ptprc	0.572187368571778	0.575067536796482	-0.335260456521431	0.265668492834586	1	Not regulated
ENSMUSG00000026393.10	OTTMUSG00000049434.4	Nek7	0.57816845855218	0.584452238737302	-0.417689499155914	0.302146350623535	1	Not regulated
ENSMUSG00000019230.14	OTTMUSG00000022572.7	Lhx9	-0.689563447115395	-0.690533069851344	0.976723505259973	0.134256483731477	1	Not regulated
ENSMUSG00000079283.2	OTTMUSG00000049925.3	2310009B15Rik	0.252414680666886	0.252909599050049	0.537886193455544	0.964470286951997	1	Not regulated
ENSMUSG00000056268.15	OTTMUSG00000033401.8	Dennd1b	-0.0925011203082984	-0.0925248359528843	3.83640095195224	0.940951673477491	1	Not regulated
ENSMUSG00000104900.1	OTTMUSG00000033405.4	4930596I21Rik	-0.295090158872429	-0.299743416187578	-0.314922150900502	0.589258850220877	1	Not regulated
ENSMUSG00000063681.14	OTTMUSG00000033974.4	Crb1	-0.228473129555603	-0.235674619647403	-0.184005977050008	0.70635550757886	1	Not regulated
ENSMUSG00000033964.12	OTTMUSG00000050595.2	Zbtb41	0.53449476165208	0.535667534850352	0.815715314190351	0.312845595428951	1	Not regulated
ENSMUSG00000033952.14	OTTMUSG00000019630.3	Aspm	-0.225585234222087	-0.225610174153706	4.60711312517058	0.894031124679211	1	Not regulated
ENSMUSG00000057037.8	OTTMUSG00000034842.5	Cfhr1	0.0270662650427194	0.0271885736483091	2.51807581285756	0.976168377121924	1	Not regulated
ENSMUSG00000090623.3	OTTMUSG00000050043.1	Cfhr3	-0.10164714498935	-0.101979759580186	2.67348683767093	0.890054877690965	1	Not regulated
ENSMUSG00000026365.15	OTTMUSG00000024648.5	Cfh	0.477345500594456	0.483389772671345	0.109823826978783	0.400635400529237	1	Not regulated
ENSMUSG00000052726.15	OTTMUSG00000029830.7	Kcnt2	1.21909099705894	1.2695615429911	-0.910104395554861	0.0408168889526677	1	Up-regulated
ENSMUSG00000026361.9	OTTMUSG00000030974.4	Cdc73	-0.213124981855053	-0.213134956855484	5.93256002664307	0.998206339033256	1	Not regulated
ENSMUSG00000018196.18	OTTMUSG00000020841.4	Glrx2	0.117457401449742	0.117483090807567	4.55716818825831	0.918076662724524	1	Not regulated
ENSMUSG00000018199.9	OTTMUSG00000021864.1	Trove2	-0.00473285273610818	-0.00445327240147114	-0.763940926694558	0.994243286269302	1	Not regulated
ENSMUSG00000018189.12	OTTMUSG00000049324.2	Uchl5	-0.00622912441716345	-0.00622941348272606	6.21922909822854	0.999997923340718	1	Not regulated
ENSMUSG00000100455.1	OTTMUSG00000049325.1	Gm29170	0.227112053048609	0.227705071783031	-0.399866775578952	0.718550550799668	1	Not regulated
ENSMUSG00000026360.9	OTTMUSG00000020882.3	Rgs2	-0.0291701489852099	-0.0297773119330875	-0.644413463242133	0.96913324653253	1	Not regulated
ENSMUSG00000035131.14	OTTMUSG00000024055.3	Brinp3	0.599513327301695	0.603861249766488	1.49881025943178	0.230642478175058	1	Not regulated
ENSMUSG00000080078.2	OTTMUSG00000024056.1	Gm15583	0.377235283096255	0.388334498832446	-0.36486694290126	0.606928912123565	1	Not regulated
ENSMUSG00000006010.14	OTTMUSG00000021629.2	Odr4	0.122022005901103	0.122047320602957	3.21704678770052	0.98036056809898	1	Not regulated
ENSMUSG00000006005.18	OTTMUSG00000029496.5	Tpr	0.0440181411396097	0.0440188681373729	6.97235883674266	0.960969054096805	1	Not regulated
ENSMUSG00000066842.18	OTTMUSG00000021664.7	Hmcn1	0.266464822249562	0.267533261137445	-0.167519147822528	0.725165993745965	1	Not regulated
ENSMUSG00000114212.1	OTTMUSG00000068973.1	Gm47985	-0.821000311890704	-0.829612997350948	0.108760155997214	0.0604149552976345	1	Not regulated
ENSMUSG00000100954.4	OTTMUSG00000049559.1	Gm10138	0.0929502485331359	0.092953970800043	6.6891503165278	0.999966305741175	1	Not regulated
ENSMUSG00000023150.14	OTTMUSG00000049560.1	Ivns1abp	-0.0935415430883744	-0.0935427415019309	8.02673830978781	0.999995756987018	1	Not regulated
ENSMUSG00000052748.14	OTTMUSG00000033903.4	Swt1	0.258668157815227	0.258720092421172	5.63988780117917	0.835770833802881	1	Not regulated
ENSMUSG00000053286.11	OTTMUSG00000049568.2	Trmt1l	0.0550131220464429	0.0550178656372685	4.9295332988179	0.972763799754949	1	Not regulated
ENSMUSG00000103928.1	OTTMUSG00000049569.1	Gm37893	-0.0545478308328285	-0.0546572384069504	0.438444894139903	0.94362768483041	1	Not regulated
ENSMUSG00000026484.13	OTTMUSG00000049593.2	Rnf2	0.380372533037474	0.380394631626225	4.91593559731959	0.518926440437777	1	Not regulated
ENSMUSG00000026483.13	OTTMUSG00000021503.3	Fam129a	-0.703926642360131	-0.703975014128319	5.63769292315161	0.0468250154070545	1	Down-regulated
ENSMUSG00000100594.1	OTTMUSG00000049644.1	2810414N06Rik	-0.21006826195295	-0.210337300384379	1.71958548726633	0.956136879960182	1	Not regulated
