gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000032417.10	OTTMUSG00000045045.2	Rwdd2a	-0.221112441949523	-0.221120555726931	6.3932895435375	0.999639608710438	1	Not regulated
ENSMUSG00000032418.15	OTTMUSG00000045046.2	Me1	-0.0430685137328341	-0.0430690023966855	8.43189041323874	0.999999999989107	1	Not regulated
ENSMUSG00000087466.3	OTTMUSG00000045048.1	A330041J22Rik	0.0413371985233311	0.0417177088819068	-0.82485843882791	0.941031954500467	1	Not regulated
ENSMUSG00000033491.13	OTTMUSG00000045049.1	Prss35	1.54617252339222	1.55236393925818	1.24597935681118	0.00105779843931393	0.0629262065122289	Up-regulated
ENSMUSG00000033419.15	OTTMUSG00000045050.2	Snap91	0.566861324196005	0.567235123850518	2.62840692433743	0.298257427966094	1	Not regulated
ENSMUSG00000032872.16	OTTMUSG00000037524.6	Cyb5r4	-0.216349748999404	-0.216362266101618	5.75686131619884	0.999992245766	1	Not regulated
ENSMUSG00000056919.9	OTTMUSG00000025816.4	Cep162	-0.00428143063349774	-0.00428175680206358	5.67057275993875	0.99786358831822	1	Not regulated
ENSMUSG00000032420.8	OTTMUSG00000045593.4	Nt5e	0.174753613307275	0.175568236877684	0.590754530821568	0.759552729285946	1	Not regulated
ENSMUSG00000032422.17	OTTMUSG00000030828.4	Snx14	-0.1567184227879	-0.156734482667422	5.81699734175811	0.999910564879137	1	Not regulated
ENSMUSG00000032423.12	OTTMUSG00000037703.5	Syncrip	-0.549927889815948	-0.550035332124454	4.4684594408248	0.322701032932682	1	Not regulated
ENSMUSG00000097195.9	OTTMUSG00000043223.4	Snhg5	-0.554006525509298	-0.554328788719722	3.15882643840882	0.31231950154892	1	Not regulated
ENSMUSG00000032425.15	OTTMUSG00000034721.4	Zfp949	-0.161730576395074	-0.161749368033005	4.54290981405299	0.999714152256463	1	Not regulated
ENSMUSG00000079427.10	OTTMUSG00000045603.4	Mthfsl	-0.291579077921526	-0.292896954525357	1.05293775912096	0.598914494469982	1	Not regulated
ENSMUSG00000074149.9	OTTMUSG00000045605.1	Gm10634	0.145809670921096	0.14583953555039	4.486718113356	0.88256372292809	1	Not regulated
ENSMUSG00000097177.8	OTTMUSG00000046280.1	9330159M07Rik	0.00219299448965367	0.00219334768630799	5.0999405498911	0.999999925618585	1	Not regulated
ENSMUSG00000097677.1	OTTMUSG00000045611.1	Gm26611	-0.0519960262737933	-0.0520099328200983	3.7865873615609	0.999519994849498	1	Not regulated
ENSMUSG00000099930.1	OTTMUSG00000045612.2	Gm2396	0.680196062174521	0.680878005695539	1.28194669370897	0.222240868595068	1	Not regulated
ENSMUSG00000074146.9	OTTMUSG00000045616.1	4930579C12Rik	0.350971819364104	0.351025490375912	3.91640517944231	0.532217400354608	1	Not regulated
ENSMUSG00000066442.17	OTTMUSG00000031930.5	Mthfs	-0.375120683961028	-0.376611156677527	-0.413479521012636	0.510413213578167	1	Not regulated
ENSMUSG00000032353.9	OTTMUSG00000046286.3	Tmed3	0.105741923012984	0.105810349026519	3.33671930102673	0.987475306943358	1	Not regulated
ENSMUSG00000098727.1	OTTMUSG00000044478.1	1700017I07Rik	-0.620704214108658	-0.622290169324836	0.627567338061902	0.202949939222062	1	Not regulated
ENSMUSG00000098627.7	OTTMUSG00000044479.1	4930524O08Rik	-0.454764276870756	-0.454906899265262	4.12464315615267	0.809879007019454	1	Not regulated
ENSMUSG00000032356.12	OTTMUSG00000046289.3	Rasgrf1	0.68645201783656	0.686543489937136	4.00784450040031	0.154369504158478	1	Not regulated
